SECT DEPTH,SB DEPTH,SECT NUM,SECT DEPTH,CT,PWAmp,PWVel,Den1,MS1,Imp,FP,Name,Hole,Number
27.799999237060547,0.278,1,27.8,8.696,0.0001,1260.838,1.2598,7.0647,1588.359,0.8516,1001-1-B-1-1,B,1.0
28.299999237060547,0.283,1,28.3,8.696,0.0001,1260.838,1.2903,6.7738,1626.918,0.8341,1001-1-B-1-1,B,1.0
28.799999237060547,0.288,1,28.8,8.696,0.0001,1264.505,1.2614,6.8406,1594.988,0.8507,1001-1-B-1-1,B,1.0
29.299999237060547,0.293,1,29.3,8.699,0.0001,1264.206,1.222,7.02,1544.921,0.8731,1001-1-B-1-1,B,1.0
29.799999237060547,0.298,1,29.8,8.699,0.0001,1261.456,1.2241,7.0081,1544.176,0.8719,1001-1-B-1-1,B,1.0
30.299999237060547,0.303,1,30.3,8.695,0.0001,1262.157,1.2428,6.883,1568.647,0.8612,1001-1-B-1-1,B,1.0
30.799999237060547,0.308,1,30.8,8.695,0.0001,1267.123,1.2306,6.9464,1559.369,0.8682,1001-1-B-1-1,B,1.0
31.299999237060547,0.313,1,31.3,8.694,0.0001,1266.608,1.2399,6.8967,1570.471,0.8629,1001-1-B-1-1,B,1.0
31.799999237060547,0.318,1,31.8,8.694,0.0001,1266.978,1.2775,6.6661,1618.539,0.8414,1001-1-B-1-1,B,1.0
32.29999923706055,0.323,1,32.3,8.694,0.0001,1271.797,1.2656,6.6681,1609.576,0.8482,1001-1-B-1-1,B,1.0
32.79999923706055,0.328,1,32.8,8.695,0.0001,1272.687,1.2578,6.6745,1600.748,0.8527,1001-1-B-1-1,B,1.0
33.29999923706055,0.333,1,33.3,8.694,0.0001,1269.753,1.2419,6.7621,1576.869,0.8618,1001-1-B-1-1,B,1.0
33.79999923706055,0.338,1,33.8,8.694,0.0001,1267.717,1.2212,6.8138,1548.117,0.8736,1001-1-B-1-1,B,1.0
34.29999923706055,0.343,1,34.3,8.693,0.0001,1269.978,1.2833,6.4541,1629.702,0.8381,1001-1-B-1-1,B,1.0
34.79999923706055,0.348,1,34.8,8.69,0.0001,1271.025,1.2497,6.5725,1588.341,0.8573,1001-1-B-1-1,B,1.0
35.29999923706055,0.353,1,35.3,8.688,0.0001,1265.734,1.2067,6.7128,1527.362,0.8819,1001-1-B-1-1,B,1.0
35.79999923706055,0.358,1,35.8,8.685,0.0,1264.192,1.2296,6.5317,1554.405,0.8688,1001-1-B-1-1,B,1.0
36.29999923706055,0.363,1,36.3,8.69,0.0,1265.104,1.2431,6.3263,1572.702,0.8611,1001-1-B-1-1,B,1.0
36.79999923706055,0.368,1,36.8,8.69,0.0,1266.579,1.2612,6.1089,1597.472,0.8507,1001-1-B-1-1,B,1.0
37.29999923706055,0.373,1,37.3,8.69,0.0,1265.657,1.2829,5.8859,1623.719,0.8383,1001-1-B-1-1,B,1.0
37.79999923706055,0.378,1,37.8,8.689,0.0,1260.92,1.3409,5.5451,1690.715,0.8052,1001-1-B-1-1,B,1.0
38.29999923706055,0.383,1,38.3,8.687,0.0,1264.852,1.3887,5.2423,1756.537,0.7779,1001-1-B-1-1,B,1.0
38.79999923706055,0.388,1,38.8,8.684,0.0001,1272.754,1.2595,5.6919,1602.983,0.8517,1001-1-B-1-1,B,1.0
39.29999923706055,0.393,1,39.3,8.68,0.0001,1274.035,1.3097,5.3944,1668.633,0.823,1001-1-B-1-1,B,1.0
39.79999923706055,0.398,1,39.8,8.682,0.0001,1269.67,1.4101,4.9525,1790.375,0.7657,1001-1-B-1-1,B,1.0
40.29999923706055,0.403,1,40.3,8.681,0.0001,1259.759,1.3968,4.942,1759.602,0.7733,1001-1-B-1-1,B,1.0
40.79999923706055,0.408,1,40.8,8.676,0.0001,1266.384,1.415,4.8021,1791.982,0.7628,1001-1-B-1-1,B,1.0
41.29999923706055,0.413,1,41.3,8.675,0.0001,1273.301,1.462,4.5435,1861.621,0.736,1001-1-B-1-1,B,1.0
41.79999923706055,0.418,1,41.8,8.675,0.0001,1277.426,1.4351,4.546,1833.233,0.7514,1001-1-B-1-1,B,1.0
42.29999923706055,0.423,1,42.3,8.675,0.0001,1276.111,1.3767,4.7086,1756.821,0.7847,1001-1-B-1-1,B,1.0
42.79999923706055,0.428,1,42.8,8.676,0.0001,1273.448,1.3138,4.9325,1673.049,0.8207,1001-1-B-1-1,B,1.0
43.29999923706055,0.433,1,43.3,8.675,0.0001,1276.111,1.3207,4.9397,1685.391,0.8167,1001-1-B-1-1,B,1.0
